_begin,_end,_id,_sampledSeconds,_nVehEntered,_nVehLeft,_nVehSeen,_meanSpeed,_meanTimeLoss,_meanOccupancy,_maxOccupancy,_meanMaxJamLengthInVehicles,_meanMaxJamLengthInMeters,_maxJamLengthInVehicles,_maxJamLengthInMeters,_jamLengthInVehiclesSum,_jamLengthInMetersSum,_meanHaltingDuration,_maxHaltingDuration,_haltingDurationSum,_meanIntervalHaltingDuration,_maxIntervalHaltingDuration,_intervalHaltingDurationSum,_startedHalts,_meanVehicleNumber,_maxVehicleNumber
0.00,300.00,detector_carr_izq_2,826.17,39,33,39,14.16,0.39,1.58,5.64,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.81,10
300.00,600.00,detector_carr_izq_2,2048.63,77,76,83,14.51,0.31,3.90,7.26,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.98,13
600.00,900.00,detector_carr_izq_2,2071.49,71,69,78,14.64,0.29,3.94,6.35,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.04,11
900.00,1200.00,detector_carr_izq_2,2440.83,77,81,86,14.28,1.07,4.63,7.50,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.27,13
1200.00,1500.00,detector_carr_izq_2,2062.49,76,75,81,14.75,0.64,3.92,6.92,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.99,12
1500.00,1800.00,detector_carr_izq_2,2141.42,76,78,82,14.27,0.65,4.06,5.96,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.28,11
1800.00,2100.00,detector_carr_izq_2,1894.58,68,66,72,14.40,0.62,3.61,6.15,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.43,11
2100.00,2400.00,detector_carr_izq_2,1628.31,66,64,72,14.27,0.26,3.10,4.62,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.53,8
2400.00,2700.00,detector_carr_izq_2,2135.45,70,69,78,14.16,0.68,4.06,5.77,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.23,11
2700.00,3000.00,detector_carr_izq_2,2437.32,85,85,94,14.22,0.80,4.64,8.08,0.00,0.00,0,0.00,0,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,8.27,14
3000.00,3300.00,detector_carr_izq_2,2445.94,77,78,86,14.15,0.90,4.65,6.92,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.31,12
3300.00,3600.00,detector_carr_izq_2,2352.36,79,83,87,14.13,0.59,4.47,6.92,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.99,13
3600.00,3900.00,detector_carr_izq_2,1868.56,59,57,63,14.47,0.32,3.57,6.35,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.33,11
3900.00,4200.00,detector_carr_izq_2,1295.42,45,46,51,15.08,0.30,2.48,5.19,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.40,10
4200.00,4500.00,detector_carr_izq_2,1725.83,53,51,58,14.56,0.42,3.31,6.35,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.84,11
4500.00,4800.00,detector_carr_izq_2,2014.52,54,54,61,14.16,0.68,3.86,5.77,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.83,10
4800.00,5100.00,detector_carr_izq_2,2104.33,54,55,61,14.14,1.22,4.03,6.92,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,12
5100.00,5400.00,detector_carr_izq_2,2018.04,62,62,68,14.35,0.52,3.87,6.35,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.83,11
